Timestamp,LogLevel,Service,Message,RequestID,User,ClientIP,TimeTaken,TimeVal,recon_error
2023-11-20T08:40:51.105+03:00,FATAL,ServiceB,Crashes,1214,User36,192.168.1.217,55ms,55.0,0.01649549789726734
2023-11-20T08:40:51.193+03:00,WARNING,ServiceD,Input Validation Warnings,3307,User50,192.168.1.36,93ms,93.0,0.016761504113674164
2023-11-20T08:40:51.362+03:00,FATAL,ServiceD,Data Corruption,2253,User94,192.168.1.157,31ms,31.0,0.016404597088694572
2023-11-20T08:40:51.744+03:00,WARNING,ServiceD,Input Validation Warnings,5237,User64,192.168.1.24,33ms,33.0,0.01685023494064808
2023-11-20T08:40:52.948+03:00,FATAL,ServiceB,Data Corruption,9616,User10,192.168.1.249,54ms,54.0,0.01706811785697937
2023-11-20T08:40:52.993+03:00,FATAL,ServiceA,Crashes,7800,User76,192.168.1.45,54ms,54.0,0.016796788200736046
2023-11-20T08:40:53.165+03:00,DEBUG,ServiceB,SQL Queries,8423,User92,192.168.1.45,18ms,18.0,0.016414692625403404
2023-11-20T08:40:53.252+03:00,DEBUG,ServiceC,SQL Queries,2346,User3,192.168.1.198,72ms,72.0,0.01610097847878933
2023-11-20T08:40:53.826+03:00,WARNING,ServiceD,Input Validation Warnings,9010,User79,192.168.1.124,95ms,95.0,0.01618591509759426
2023-11-20T08:40:54.167+03:00,FATAL,ServiceA,Data Corruption,5844,User16,192.168.1.219,42ms,42.0,0.016380589455366135
2023-11-20T08:40:55.209+03:00,FATAL,ServiceB,Crashes,3284,User30,192.168.1.66,100ms,100.0,0.016651684418320656
2023-11-20T08:40:56.058+03:00,FATAL,ServiceA,Data Corruption,6032,User37,192.168.1.65,52ms,52.0,0.016151998192071915
2023-11-20T08:40:56.106+03:00,FATAL,ServiceA,Data Corruption,6573,User37,192.168.1.188,34ms,34.0,0.017249520868062973
2023-11-20T08:40:56.754+03:00,DEBUG,ServiceC,SQL Queries,7032,User54,192.168.1.218,99ms,99.0,0.016399294137954712
2023-11-20T08:40:57.141+03:00,FATAL,ServiceB,Data Corruption,9105,User44,192.168.1.131,75ms,75.0,0.016538241878151894
2023-11-20T08:40:57.384+03:00,WARNING,ServiceD,Input Validation Warnings,7480,User49,192.168.1.62,41ms,41.0,0.016713986173272133
2023-11-20T08:40:57.521+03:00,WARNING,ServiceD,Performance Warnings,2046,User88,192.168.1.98,34ms,34.0,0.016066625714302063
2023-11-20T08:40:57.938+03:00,WARNING,ServiceD,Input Validation Warnings,4536,User63,192.168.1.58,78ms,78.0,0.016511861234903336
2023-11-20T08:40:57.972+03:00,FATAL,ServiceD,Crashes,3296,User83,192.168.1.170,15ms,15.0,0.016572726890444756
2023-11-20T08:40:58.020+03:00,WARNING,ServiceD,Input Validation Warnings,8029,User85,192.168.1.140,76ms,76.0,0.016394032165408134
2023-11-20T08:40:58.370+03:00,FATAL,ServiceC,Crashes,9060,User4,192.168.1.252,34ms,34.0,0.01702408865094185
2023-11-20T08:40:58.472+03:00,DEBUG,ServiceC,SQL Queries,2268,User68,192.168.1.118,18ms,18.0,0.01624964363873005
2023-11-20T08:40:59.948+03:00,FATAL,ServiceA,Crashes,1145,User76,192.168.1.241,72ms,72.0,0.016054222360253334
2023-11-20T08:41:00.054+03:00,WARNING,ServiceD,Performance Warnings,8880,User98,192.168.1.41,34ms,34.0,0.016066625714302063
2023-11-20T08:41:00.118+03:00,FATAL,ServiceA,Crashes,2556,User36,192.168.1.63,18ms,18.0,0.016977891325950623
2023-11-20T08:41:00.166+03:00,WARNING,ServiceD,Input Validation Warnings,5032,User71,192.168.1.194,25ms,25.0,0.01647469587624073
2023-11-20T08:41:00.854+03:00,DEBUG,ServiceC,SQL Queries,4515,User90,192.168.1.215,28ms,28.0,0.016156436875462532
2023-11-20T08:41:01.185+03:00,FATAL,ServiceD,Data Corruption,1213,User29,192.168.1.105,91ms,91.0,0.016443483531475067
2023-11-20T08:41:01.967+03:00,WARNING,ServiceD,Input Validation Warnings,1201,User10,192.168.1.52,18ms,18.0,0.01618596725165844
2023-11-20T08:41:02.334+03:00,DEBUG,ServiceA,SQL Queries,8217,User8,192.168.1.228,98ms,98.0,0.016976648941636086
2023-11-20T08:41:02.477+03:00,DEBUG,ServiceB,SQL Queries,3259,User23,192.168.1.158,95ms,95.0,0.01725797913968563
2023-11-20T08:41:04.456+03:00,FATAL,ServiceA,Crashes,8982,User80,192.168.1.101,43ms,43.0,0.01628401316702366
2023-11-20T08:41:04.499+03:00,FATAL,ServiceC,Crashes,6563,User48,192.168.1.125,35ms,35.0,0.016100717708468437
2023-11-20T08:41:05.121+03:00,DEBUG,ServiceA,SQL Queries,1314,User70,192.168.1.118,52ms,52.0,0.016183728352189064
2023-11-20T08:41:05.651+03:00,FATAL,ServiceA,Crashes,2533,User54,192.168.1.184,69ms,69.0,0.01684330590069294
2023-11-20T08:41:06.123+03:00,FATAL,ServiceB,Crashes,4182,User40,192.168.1.220,35ms,35.0,0.016050761565566063
2023-11-20T08:41:06.154+03:00,FATAL,ServiceD,Data Corruption,6871,User17,192.168.1.154,55ms,55.0,0.016120342537760735
2023-11-20T08:41:07.476+03:00,FATAL,ServiceD,Data Corruption,3950,User76,192.168.1.94,14ms,14.0,0.01635000668466091
2023-11-20T08:41:07.889+03:00,FATAL,ServiceB,Data Corruption,8790,User31,192.168.1.53,13ms,13.0,0.016399836167693138
2023-11-20T08:41:08.017+03:00,WARNING,ServiceD,Resource Warnings,1427,User94,192.168.1.130,82ms,82.0,0.01654711365699768
